Curve Name,Label,Symbology,Ticker,Field Name,Type,Convention,Time,Spread
EUR-DSCON-OIS,OIS-1W,OG-Ticker,EONIA INDEX,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,1D,
EUR-DSCON-OIS,OIS-1W,OG-Ticker,EUSWE1Z CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,1W,
EUR-DSCON-OIS,OIS-2W,OG-Ticker,EUSWE2Z CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,2W,
EUR-DSCON-OIS,OIS-1M,OG-Ticker,EUSWEA CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,1M,
EUR-DSCON-OIS,OIS-2M,OG-Ticker,EUSWEB CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,2M,
EUR-DSCON-OIS,OIS-3M,OG-Ticker,EUSWEC CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,3M,
EUR-DSCON-OIS,OIS-4M,OG-Ticker,EUSWED CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,4M,
EUR-DSCON-OIS,OIS-5M,OG-Ticker,EUSWEE CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,5M,
EUR-DSCON-OIS,OIS-6M,OG-Ticker,EUSWEF CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,6M,
EUR-DSCON-OIS,OIS-7M,OG-Ticker,EUSWEG CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,7M,
EUR-DSCON-OIS,OIS-8M,OG-Ticker,EUSWEH CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,8M,0
EUR-DSCON-OIS,OIS-9M,OG-Ticker,EUSWEI CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,9M,
EUR-DSCON-OIS,OIS-10M,OG-Ticker,EUSWEJ CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,10M,
EUR-DSCON-OIS,OIS-11M,OG-Ticker,EUSWEK CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,11M,
EUR-DSCON-OIS,OIS-1Y,OG-Ticker,EUSWE1 CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,1Y,
EUR-DSCON-OIS,OIS-18M,OG-Ticker,EUSWE1F CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,18M,
EUR-DSCON-OIS,OIS-2Y,OG-Ticker,EUSWE2 CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,2Y,
EUR-DSCON-OIS,OIS-30M,OG-Ticker,EUSWE2F CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,30M,
EUR-DSCON-OIS,OIS-3Y,OG-Ticker,EUSWE3 CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,3Y,
EUR-DSCON-OIS,OIS-4Y,OG-Ticker,EUSWE4 CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,4Y,
EUR-DSCON-OIS,OIS-5Y,OG-Ticker,EUSWE5 CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,5Y,
EUR-DSCON-OIS,OIS-6Y,OG-Ticker,EUSWE6 CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,6Y,
EUR-DSCON-OIS,OIS-7Y,OG-Ticker,EUSWE7 CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,7Y,
EUR-DSCON-OIS,OIS-8Y,OG-Ticker,EUSWE8 CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,8Y,
EUR-DSCON-OIS,OIS-9Y,OG-Ticker,EUSWE9 CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,9Y,
EUR-DSCON-OIS,OIS-10Y,OG-Ticker,EUSWE10 CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,10Y,
EUR-DSCON-OIS,OIS-11Y,OG-Ticker,EUSWE11 CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,11Y,
EUR-DSCON-OIS,OIS-12Y,OG-Ticker,EUSWE12 CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,12Y,
EUR-DSCON-OIS,OIS-13Y,OG-Ticker,EUSWE13 CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,13Y,
EUR-DSCON-OIS,OIS-14Y,OG-Ticker,EUSWE14 CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,14Y,
EUR-DSCON-OIS,OIS-15Y,OG-Ticker,EUSWE15 CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,15Y,
EUR-DSCON-OIS,OIS-20Y,OG-Ticker,EUSWE20 CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,20Y,
EUR-DSCON-OIS,OIS-25Y,OG-Ticker,EUSWE25 CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,25Y,
EUR-DSCON-OIS,OIS-30Y,OG-Ticker,EUSWE30 CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,30Y,
EUR-DSCON-OIS,OIS-35Y,OG-Ticker,EUSWE35 CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,35Y,
EUR-DSCON-OIS,OIS-40Y,OG-Ticker,EUSWE40 CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,40Y,
EUR-DSCON-OIS,OIS-50Y,OG-Ticker,EUSWE50 CURNCY,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,50Y,
EUR-EURIBOR6M-IRS,IRS6M-6M,OG-Ticker,EUR006M INDEX,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,6M,
EUR-EURIBOR6M-IRS,IRS6M-7M,OG-Ticker,EUSWG CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,7M,
EUR-EURIBOR6M-IRS,IRS6M-8M,OG-Ticker,EUSWH CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,8M,
EUR-EURIBOR6M-IRS,IRS6M-9M,OG-Ticker,EUSWI CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,9M,
EUR-EURIBOR6M-IRS,IRS6M-10M,OG-Ticker,EUSWJ CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,10M,
EUR-EURIBOR6M-IRS,IRS6M-11M,OG-Ticker,EUSWK CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,11M,
EUR-EURIBOR6M-IRS,IRS6M-1Y,OG-Ticker,EUSA1 CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,1Y,
EUR-EURIBOR6M-IRS,IRS6M-18M,OG-Ticker,EUSA1F CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,18M,
EUR-EURIBOR6M-IRS,IRS6M-2Y,OG-Ticker,EUSA2 CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,2Y,
EUR-EURIBOR6M-IRS,IRS6M-3Y,OG-Ticker,EUSA3 CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,3Y,
EUR-EURIBOR6M-IRS,IRS6M-4Y,OG-Ticker,EUSA4 CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,4Y,
EUR-EURIBOR6M-IRS,IRS6M-5Y,OG-Ticker,EUSA5 CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,5Y,
EUR-EURIBOR6M-IRS,IRS6M-6Y,OG-Ticker,EUSA6 CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,6Y,
EUR-EURIBOR6M-IRS,IRS6M-7Y,OG-Ticker,EUSA7 CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,7Y,
EUR-EURIBOR6M-IRS,IRS6M-8Y,OG-Ticker,EUSA8 CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,8Y,
EUR-EURIBOR6M-IRS,IRS6M-9Y,OG-Ticker,EUSA9 CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,9Y,
EUR-EURIBOR6M-IRS,IRS6M-10Y,OG-Ticker,EUSA10 CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,10Y,
EUR-EURIBOR6M-IRS,IRS6M-11Y,OG-Ticker,EUSA11 CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,11Y,
EUR-EURIBOR6M-IRS,IRS6M-12Y,OG-Ticker,EUSA12 CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,12Y,
EUR-EURIBOR6M-IRS,IRS6M-13Y,OG-Ticker,EUSA13 CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,13Y,
EUR-EURIBOR6M-IRS,IRS6M-14Y,OG-Ticker,EUSA14 CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,14Y,
EUR-EURIBOR6M-IRS,IRS6M-15Y,OG-Ticker,EUSA15 CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,15Y,
EUR-EURIBOR6M-IRS,IRS6M-16Y,OG-Ticker,EUSA16 CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,16Y,
EUR-EURIBOR6M-IRS,IRS6M-17Y,OG-Ticker,EUSA17 CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,17Y,
EUR-EURIBOR6M-IRS,IRS6M-18Y,OG-Ticker,EUSA18 CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,18Y,
EUR-EURIBOR6M-IRS,IRS6M-19Y,OG-Ticker,EUSA19 CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,19Y,
EUR-EURIBOR6M-IRS,IRS6M-20Y,OG-Ticker,EUSA20 CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,20Y,
EUR-EURIBOR6M-IRS,IRS6M-21Y,OG-Ticker,EUSA21 CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,21Y,
EUR-EURIBOR6M-IRS,IRS6M-22Y,OG-Ticker,EUSA22 CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,22Y,
EUR-EURIBOR6M-IRS,IRS6M-23Y,OG-Ticker,EUSA23 CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,23Y,
EUR-EURIBOR6M-IRS,IRS6M-24Y,OG-Ticker,EUSA24 CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,24Y,
EUR-EURIBOR6M-IRS,IRS6M-25Y,OG-Ticker,EUSA25 CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,25Y,
EUR-EURIBOR6M-IRS,IRS6M-26Y,OG-Ticker,EUSA26 CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,26Y,
EUR-EURIBOR6M-IRS,IRS6M-27Y,OG-Ticker,EUSA27 CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,27Y,
EUR-EURIBOR6M-IRS,IRS6M-28Y,OG-Ticker,EUSA28 CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,28Y,
EUR-EURIBOR6M-IRS,IRS6M-29Y,OG-Ticker,EUSA29 CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,29Y,
EUR-EURIBOR6M-IRS,IRS6M-30Y,OG-Ticker,EUSA30 CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,30Y,
EUR-EURIBOR6M-IRS,IRS6M-35Y,OG-Ticker,EUSA35 CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,35Y,
EUR-EURIBOR6M-IRS,IRS6M-40Y,OG-Ticker,EUSA40 CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,40Y,
EUR-EURIBOR6M-IRS,IRS6M-45Y,OG-Ticker,EUSA45 CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,45Y,
EUR-EURIBOR6M-IRS,IRS6M-50Y,OG-Ticker,EUSA50 CURNCY,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,50Y,
